Gravity Core,Lat,Lon
WS23-139-17GC,5.911116667,-53.96151667
WS23-139-10GC,4.9609,-51.67451667
WS23-139-09GC,4.9609,-51.67451667
WS23-139-15-13GC,5.647883333,-53.34171667
WS23-139-21-18GC,6.022866667,-54.02726667
WS23-139-05-03GC,1.615833333,-49.59458333
WS23-139-07GC,1.043866667,-49.5934
WS23-139-16-14GC,5.748433333,-53.32511667
WS23-139-08GC,3.211335,-50.45155
WS23-139-06-04GC,1.194933333,-49.0982
WS23-139-18-16GC,6.121116667,-54.08708333
WS23-139-06-06GC,1.194933333,-49.0982
WS23-139-04-02GC,1.7173,-49.38581667
