Software Version Number: 1	Data File Format Number: 1	Build Version Number: 1
Date	Time	GPS1 Lat	Dir	Lon	Dir	SOG Knots	COG Deg. True	Lat Dec. Deg.	Lon Dec. Deg.	GPS2 Lat	Dir	Lon	Dir	SOG Knots	COG Deg. True	Lat Dec. Deg.	Lon Dec. Deg.	Gyro	Water Speed F/A Spd. Knots	P/S Spd. Knots	PIR w/m^2	PSP w/m^2	TUV w/m^2	Rain Gauge Cond. Code	Inst. Precip. mm/hr	Accum. Precip. mm	Depth Feet	Meters	Fathoms	Fluorometer Reading Volts	Gain	DisOrgMat Reading Volts	Gain	SBTemp Degrees C	POSMV Lat	Dir	Lon	Dir	SOG Knots	COG Degrees T	Lat Dec. Deg.	Lon Dec. Deg.	POSMV Heading Degrees T	RM Young Barometer mb	Stbd RM Young Winds Rel. Wind Spd. Knots	Rel. Wind Dir. Degrees	True Wind Spd. Knots	True Wind Dir. Degrees	Port RM Young Met Air Temp. Degrees C	Rel. Humid. %	Baro. Press. mb	MicroTSG1 Temperature Degrees C	 Conductivity Seimens	 Salinity PSU	Turner C3 Primary Chl-a	 C3 Primary PE	 C3 Primary CDOM	 C3 Primary Temp C	Turner C3 Secondary Chl-a	 C3 Secondary PE	 C3 Secondary CDOM	 C3 Secondary Temp C	
26 May 2023	11:30:44	18 17.6194 	 N 	   64 54.4601 	 W 	 8.7 	 100.5 	 + 18.2937 	 - 64.9077 	 18 17.6223 	 N 	   64 54.4586 	 W 	 8.7 	 101.6 	 + 18.2937 	 - 64.9076 	 102.76	0.0	0.0	405.0	331.6	147.8		0.0	0.0	4.5	1.4	0.8	0.00000	30X	0.00000	30X	28.4494	18 17.6223 	 N 	   64 54.4586 	 W 	 8.7 	 101.6 	 + 18.2937 	 - 64.9076 	 103.00	1013.14	16.0	33.0	10.2	165.5	28.1	76.0	1012.0	28.7415	5.8580	36.0886					13.80	55.40	15.88	28.70	
26 May 2023	11:35:44	18 17.4944 	 N 	   64 53.7035 	 W 	 8.7 	 99.2 	 + 18.2916 	 - 64.8951 	 18 17.4977 	 N 	   64 53.7047 	 W 	 9.0 	 99.6 	 + 18.2916 	 - 64.8951 	 100.81	0.0	0.0	405.1	347.5	157.6		0.0	0.0	4.4	1.4	0.7	0.04428	30X	0.00000	30X	28.4640	18 17.4977 	 N 	   64 53.7047 	 W 	 9.0 	 99.6 	 + 18.2916 	 - 64.8951 	 101.00	1013.19	17.0	36.0	11.4	164.8	28.1	76.0	1012.0	28.7559	5.8581	36.0809	35.96	90.84	12.64	28.54					
26 May 2023	11:40:44	18 17.3814 	 N 	   64 52.9468 	 W 	 8.7 	 98.8 	 + 18.2897 	 - 64.8824 	 18 17.3840 	 N 	   64 52.9437 	 W 	 8.9 	 98.9 	 + 18.2897 	 - 64.8824 	 101.43	0.0	0.0	408.5	392.4	167.9		0.0	0.0	4.4	1.4	0.7	0.02198	30X	0.00000	30X	28.4854	18 17.3840 	 N 	   64 52.9437 	 W 	 8.9 	 98.9 	 + 18.2897 	 - 64.8824 	 101.70	1013.19	17.0	36.0	11.6	165.8	28.1	76.0	1012.0	28.7789	5.8631	36.0978					11.40	47.20	15.20	28.75	
26 May 2023	11:45:44	18 17.2757 	 N 	   64 52.1838 	 W 	 8.8 	 98.6 	 + 18.2879 	 - 64.8697 	 18 17.2778 	 N 	   64 52.1819 	 W 	 8.8 	 98.5 	 + 18.2880 	 - 64.8697 	 101.36	0.0	0.0	404.1	383.2	177.4		0.0	0.0	4.4	1.3	0.7	0.03594	30X	0.00000	30X	28.4867	18 17.2778 	 N 	   64 52.1819 	 W 	 8.8 	 98.5 	 + 18.2880 	 - 64.8697 	 101.70	1013.19	17.0	30.0	10.7	158.1	28.1	76.0	1012.0	28.7769	5.8631	36.1000	33.60	86.48	13.16	28.55					
26 May 2023	11:50:44	18 17.1660 	 N 	   64 51.4063 	 W 	 9.0 	 98.4 	 + 18.2861 	 - 64.8568 	 18 17.1692 	 N 	   64 51.4073 	 W 	 9.0 	 98.4 	 + 18.2862 	 - 64.8568 	 100.79	0.0	0.0	403.9	361.3	167.6		0.0	0.0	4.4	1.4	0.7	0.00587	30X	0.00000	30X	28.4603	18 17.1692 	 N 	   64 51.4073 	 W 	 9.0 	 98.4 	 + 18.2862 	 - 64.8568 	 101.10	1013.19	17.0	36.0	11.4	166.5	28.1	75.0	1012.0	28.7424	5.8596	36.0999									
26 May 2023	11:55:44	18 17.0565 	 N 	   64 50.6281 	 W 	 9.0 	 97.8 	 + 18.2843 	 - 64.8438 	 18 17.0592 	 N 	   64 50.6240 	 W 	 9.1 	 97.5 	 + 18.2843 	 - 64.8437 	 100.50	0.0	0.0	404.1	415.4	197.3		0.0	0.0	4.5	1.4	0.8	0.00230	30X	0.00000	30X	28.4676	18 17.0592 	 N 	   64 50.6240 	 W 	 9.1 	 97.5 	 + 18.2843 	 - 64.8437 	 100.80	1013.19	17.0	30.0	10.6	158.1	28.2	76.0	1012.0	28.7700	5.8687	36.1429					20.24	53.96	15.00	28.73	
26 May 2023	12:00:44	18 16.9518 	 N 	   64 49.8420 	 W 	 9.1 	 97.6 	 + 18.2825 	 - 64.8307 	 18 16.9543 	 N 	   64 49.8418 	 W 	 9.2 	 97.8 	 + 18.2826 	 - 64.8307 	 101.36	0.0	0.0	403.7	437.0	208.2		0.0	0.0	4.3	1.3	0.7	0.00000	30X	0.00000	30X	28.4267	18 16.9543 	 N 	   64 49.8418 	 W 	 9.2 	 97.8 	 + 18.2826 	 - 64.8307 	 101.80	1013.25	18.0	34.0	12.2	163.6	28.1	76.0	1012.0	28.7239	5.8600	36.1184	34.36	88.04	13.36	28.50	13.36	55.08	14.76	28.69	
26 May 2023	12:05:44	18 16.8499 	 N 	   64 49.0487 	 W 	 9.0 	 101.0 	 + 18.2808 	 - 64.8175 	 18 16.8536 	 N 	   64 49.0499 	 W 	 9.3 	 106.5 	 + 18.2809 	 - 64.8175 	 114.35	0.0	0.0	405.6	461.4	218.6		0.0	0.0	4.4	1.3	0.7	0.02261	30X	0.00000	30X	28.3902	18 16.8536 	 N 	   64 49.0499 	 W 	 9.3 	 106.5 	 + 18.2809 	 - 64.8175 	 113.90	1013.25	16.0	26.0	10.7	172.2	28.3	76.0	1013.0	28.6876	5.8549	36.1092									
26 May 2023	12:10:44	18 16.5273 	 N 	   64 48.3416 	 W 	 8.8 	 115.4 	 + 18.2755 	 - 64.8057 	 18 16.5304 	 N 	   64 48.3405 	 W 	 8.6 	 115.7 	 + 18.2755 	 - 64.8057 	 120.45	0.0	0.0	407.6	512.5	230.8		0.0	0.0	4.4	1.3	0.7	0.02246	30X	0.00000	30X	28.3487	18 16.5304 	 N 	   64 48.3405 	 W 	 8.6 	 115.7 	 + 18.2755 	 - 64.8057 	 120.80	1013.40	16.0	23.0	9.2	170.5	28.3	78.0	1013.0	28.6468	5.8518	36.1208	38.16	81.64	13.00	28.43					
26 May 2023	12:15:44	18 16.1998 	 N 	   64 47.6602 	 W 	 8.7 	 114.4 	 + 18.2700 	 - 64.7943 	 18 16.2037 	 N 	   64 47.6587 	 W 	 8.7 	 114.4 	 + 18.2701 	 - 64.7943 	 115.75	0.0	0.0	413.7	575.2	246.9		0.0	0.0	4.5	1.4	0.7	0.03928	30X	0.00000	30X	28.3332	18 16.2037 	 N 	   64 47.6587 	 W 	 8.7 	 114.4 	 + 18.2701 	 - 64.7943 	 115.80	1013.40	17.0	30.0	10.5	171.4	28.2	76.0	1013.0	28.6289	5.8577	36.1739					22.44	50.00	14.68	28.59	
