,Sample ID,d15N,N%(N),C%(N),umols N (N),d15N (C),d13C,N%,C%,C:N (mass),umols N,umols C,_merge
0,WS23-139-11MC-3 37.5-40cm,5.028679090559123,0.11749098157594684,0.810321603507968,3.0997995374673257,5.226818325782732,-24.12812115554234,0.11550869538725127,0.7236109412263928,6.264558168546833,1.3680483815565028,9.997399123871386,both
1,WS23-139-10MC-3 37.5-40cm,5.262846504332783,0.1122659318298848,0.7992349359800218,2.7351699151673503,4.428560068581336,-26.059420366573093,0.10926129292336882,0.7739496689457269,7.0834752933826435,1.3055203736882184,10.787608208285985,both
2,WS23-139-10MC-3 45-47.5cm,4.576080331780628,0.11154512920987164,0.7791816229138148,2.765698182272171,4.722623179865109,-25.922771165444875,0.10989663998063672,0.7411288465907242,6.743871757328593,1.2968744816558648,10.202400683334258,both
3,WS23-139-10MC-3 42.5-45cm,4.4174213717376505,0.11171246176101889,0.7743546356491369,2.6220932138110955,4.883548109744468,-26.005845549845304,0.11052562712861852,0.7432326993763091,6.724528226484615,1.2660351635689293,9.931222614147382,both
4,WS23-139-11MC-3 5.0-7.5cm,5.172628758083373,0.12605961409888092,0.8225241050998625,2.9557875254448525,,,,,,,,left_only
5,WS23-139-11MC-3 27.5-30cm,5.037556409767356,0.12184510810565709,0.7976004089751406,3.205630863430703,4.919200929896277,-23.845576744900573,0.12267218863970912,0.7500681891058366,6.114411077386115,1.4479871402818485,10.32795807097687,both
6,WS23-139-10MC-3 17.5-20cm,5.637991306810787,0.10922031331653229,0.7557478372933147,2.792563057324413,4.687693044662802,-25.83399655400997,0.11343688725629901,0.7419756430373543,6.540867446062201,1.4559758077393068,11.109247304827397,both
7,WS23-139-10MC-3 12.5-15cm,4.436010532029884,0.10962248616054754,0.7523629393734914,2.6645071529087256,4.762805953367048,-25.884964311804026,0.11095740318588514,0.7294171891783637,6.573848776510955,1.280643261610109,9.820712696931011,both
8,WS23-139-10MC-3 32.5-35cm,4.537377554390248,0.11079651188587791,0.7796184888321885,2.772048061829974,4.591330088289883,-25.93624664105603,0.11117175518089006,0.7690612630448077,6.917775668769922,1.3671507280596393,11.03260324812572,both
9,WS23-139-11MC-3 12.5-15cm,4.987720896857523,0.12857639629547926,0.8454428279079668,3.3485845621935417,5.061986082779772,-23.23094051389244,0.13173057541524405,0.7904122600775365,6.00021868564668,1.6672709231000054,11.66993355178591,both
10,WS23-139-11MC-3 32.5-35cm,5.06383653310737,0.11692746874028451,0.7650308296491992,2.947890880353739,5.06403744911582,-23.580470511022043,0.11552357902924439,0.6929460145207755,5.998308054023834,1.3094321448853683,9.162350300241396,both
11,WS23-139-11MC-3 15-17.5cm,5.065172047405871,0.12734419761223545,0.8303522016915146,3.243323097216121,5.0913867370568795,-23.30362137810771,0.1302753736865812,0.7730246688862413,5.933774335170956,1.6335099854048338,11.307014453226147,both
12,WS23-139-10MC-3 7.5-10cm,4.585881315222689,0.10994102512311835,0.7595766887757136,2.7290642617463865,4.6534001309552115,-25.878933685445467,0.11378456140317705,0.7522892048507406,6.611522649238206,1.5160716686032163,11.692741537842442,both
13,WS23-139-10MC-3 25-27.5cm,4.580629622109835,0.11016339499331514,0.7657537413684647,2.674194789669989,4.619146853261387,-25.9636197718976,0.1145744141243415,0.7518149643994254,6.5618050080842725,1.3904312554904026,10.64309577412076,both
14,WS23-139-11MC-3 0-2.5cm,4.9200760642224415,0.12712069874008608,0.8397121837976189,3.130653439421264,5.048075404748742,-23.195449749358133,0.13335005373955564,0.8229368824732001,6.171252724655575,1.5441384167143548,11.116157405797438,both
15,WS23-139-10MC-3 27.5-30cm,4.5444357986123824,0.10946579096695835,0.764222297260683,2.707735179129152,4.7354491852193545,-25.943172550414033,0.11155049074655161,0.7389558461758777,6.624406949986647,1.347921668699766,10.416139483689786,both
16,WS23-139-10MC-3 20-22.5cm,4.537288505176959,0.10884068768317137,0.7723426853024526,2.7399730291918423,4.676833203735005,-25.878148312465107,0.1142689291073918,0.7407478333588587,6.482495628034563,1.4471617481459333,10.943454460687951,both
17,WS23-139-11MC-3 2.5-5.0cm,4.961786009063619,0.1262936257557412,0.8516817030142485,3.324650400783363,,,,,,,,left_only
18,WS23-139-10MC-3 2.5-5cm,4.921907033525581,0.10950012061966,0.8072643573758136,2.8095651933725323,,,,,,,,left_only
19,WS23-139-10MC-3 15-17.5cm,4.683037485363886,0.10620023790968182,0.7639649441504784,2.654778538239027,4.457611765890925,-25.931806701971546,0.11105147632415972,0.7393402154497728,6.657635178947424,1.2966310133551784,10.070047663886248,both
20,WS23-139-11MC-3 25-27.5cm,4.979093739706227,0.11666582114476778,0.8088944472304528,3.0714504975757424,4.996112135989191,-23.78619948535158,0.11991621829133782,0.7563841127365837,6.307604788694552,1.4544870074409018,10.702110930668415,both
21,WS23-139-10MC-3 40-42.5cm,4.691584334609921,0.10719075143368491,0.797691696186483,2.6389888639904777,4.887245999642975,-26.004115020440278,0.11130318416914346,0.7500848915913544,6.739114403514972,1.3418349611826077,10.548654303895068,both
22,WS23-139-11MC-3 5-7.5cm,4.728258429634409,0.10691928507601794,0.7664433785051419,2.6574898964433236,5.020170758386918,-23.303284724418813,0.13412816227485228,0.8074717270924072,6.020150529146556,1.5276824307065082,10.728414945223598,both
23,WS23-139-11MC-3 20-22.5cm,5.024798863330791,0.11741295633789267,0.7989138592769913,2.8448128500283842,5.161228864754935,-23.576581401608998,0.12101962577524399,0.7559255183746751,6.246305204897673,1.4387600905870548,10.483509936759857,both
24,WS23-139-11MC-3 17.5-20cm,4.942388301183032,0.11687733318927775,0.8011593212132313,2.833169958915818,5.043402964917487,-23.45380364983689,0.1257982345923078,0.7368690913955246,5.857547157029675,1.6142759896506136,11.030335158292043,both
